Article,Noun,Plural / Additional Info
die,Wohnung,-en
das,Hochhaus,"""-er"
die,WG,-s (Wohngemeinschaft)
das,Apartment,-s
das,Reihenhaus,"""-er"
der,Raum,"""-e"
das,Bad,"""-er"
die,Dusche,-n
der,Flur,-e
die,Küche,-n
das,Schlafzimmer,-
das,Wohnzimmer,-
das,Kinderzimmer,-
der,Balkon,-e
die,Terrasse,-n
der,Garten,"""-"
die,Treppe,-n
die,Tür,-en
die,Decke,-n
das,Erdgeschoss,-e
der,Stock,"""-e (im zweiten Stock)"
die,Lage (Sg.) (Die Lage ist zentral.),
die,Nähe (Sg.),
das,Zentrum,Zentren
der,Blick,-e (Der Blick aus dem
die,Möbel (Pl.),
das,Gerät,-e
die,Lampe,-n
das,Licht,-er
die,Pflanze,-n
das,Regal,-e
der,Schrank,"""-e"
der,Schreibtisch,-e
der,Sessel,-
das,Sofa,-s
der,Stuhl,"""-e"
der,Tisch,-e
der,Teppich,-e
das,Bett,-en
der,Fernseher,-
der,Herd,-e
die,Kaffeemaschine,-n
der,Kühlschrank,"""-e"
die,Spülmaschine,-n
die,Waschmaschine,-n
die,Anzeige,-n
der,Vertrag,"""-e"
die,Miete,-n
der,Vermieter,-
der,Umzug,"""-e"
die,Feier,-n
die,Blume,-n
der,Baum,"""-e"
das,Holz,"""-er (Die Treppen sind aus"
das,Heft,-e
der,Wunsch,"""-e"
der,Glückwunsch,"""-e"
der,Arbeitsplatz,"""-e"
die,Stelle,-n
der,Job,-s
der,Saison-Job,-s
die,Karriere,-n (Karriere machen)
das,Projekt,-e
die,Aufgabe,-n
die,Bewerbung,-en
das,Profil,-e
das,Internet (Sg.),
der,Feierabend,-e
der,Händler,-
die,Händlerin,-nen
die,Ware,-n
der,Künstler,-
die,Künstlerin,-nen
der,Professor,-en
die,Professorin,-nen
der,Segellehrer,-
die,Segellehrerin,-nen
der,Sekretär,-e
die,Sekretärin,-nen
der,Hotelchef,-s
die,Hotelchefin,-nen
die,Baustelle,-n
die,Computerfirma,-firmen
das,Kaufhaus,"""-er"
die,Werkstatt,"""-en"
das,Studium,Studien
das,Semester,-
der,Unterricht (Sg.),
die,Prüfung,-en
die,Statistik,-en
die,Liste,-n
der,Anruf,-e
der,Anschluss,"""-e"
die,Durchwahl,-en
die,Veranstaltung,-en
das,Karussell,-e
der,Weihnachtsmarkt,"""-e"
die,Attraktion,-en
die,Bühne,-n
der,Statist,-en
die,Statistin,-nen
der,Zuschauer,-
die,Zuschauerin,-nen
die,Oper,-n
der,Anfang,"""-e"
das,Ende,-n
die,Heimat (Sg.),
das,Ausland (Sg.),
die,Ehefrau,-en
der,Ehemann,"""-er"
die,Nachrichten (Pl.),
die,Radiosendung,-en
der,Spaziergang,"""-e"
der,Tennisplatz,"""-e"
die,Kleidung (Sg.),
die,Klamotten (Pl.),
die,Hose,-n
die,Jeans,-
das,T-Shirt,-s
das,Hemd,-en
der,Pullover,"- / der Pulli, -s"
das,Sweatshirt,-s
der,Rock,"""-e"
die,Blouse,-n
das,Kleid,-er
der,Anzug,"""-e"
die,Krawatte,-n
der,Mantel,"""-"
die,Jacke,-n
der,Schuh,-e
der,Stiefel,-
die,Mütze,-n
der,Hut,"""-e"
der,Schal,-s
das,Tuch,"""-er"
die,Tasche,-n
die,Uhr,-en
der,Schmuck (Sg.),
das,Kleidergeschäft,-e
das,Kaufhaus,"""-er"
der,Laden,"""-"
der,Buchladen,"""-"
der,Secondhand-Laden,"""-"
der,Shop,-s
die,Kasse,-n
die,Mode,-n
das,Produkt,-e
das,Papier,-e
der,Kugelschreiber,-
der,Bleistift,-e
die,Zeitschrift,-en
die,Kosmetik,-a
das,Parfüm,-e/-s
das,Duschgel,-s
die,Kamera,-s
der,USB-Stick,-s
der,Haushalt,-e
das,Untergeschoss,-e
die,Öffnungszeiten (Pl.),
das,Schild,-er
die,Hauptstadt,"""-e"
das,Design,-s
die,Architektur (Sg.),
das,Souvenir,-s
die,Erfindung,-en
die,Sache,-n
der,Hof,"""-e"
der,Badeurlaub,-e
der,Campingurlaub,-e
der,Stadturlaub,-e
der,Berg,-e
die,Insel,-n
die,Sehenswürdigkeit,-en
die,Stadtführung,-en
der,Strand,"""-e"
der,Zoo,-s
die,Postkarte,-n
das,Gepäck (Sg.),
die,Reisetasche,-n
der,Badeanzug,"""-e"
die,Badehose,-n
die,Bikini,-s
die,Regenjacke,-n
der,Regenschirm,-e
der,Reiseführer,-
die,Seife,-n
die,Sonnenbrille,-n
die,Sonnencreme,-s
das,Geschirr (Sg.),
der,Schlafsack,"""-e"
das,Zelt,-e
die,Anmeldung,-en
der,Ausweis,-e
die,Papiere (Pl.),
der,Pass,"""-e"
das,Doppelzimmer,-
das,Einzelzimmer,-
die,Rezeption,-en
die,Jugendherberge,-n
die,Pension,-en
die,Karte,-n (Kann ich mit Karte
die,Reise,-n
der,Flug,"""-e"
der,Flughafen,""""
der,Bahnsteig,-e
das,Gleis,-e
die,Haltestelle,-n
die,Abfahrt,-en
die,Ankunft,"""-e"
die,Nummer,-n
der,Ausgang,"""-e"
der,Platz,"""-e (Am Marktplatz steigen"
die,Ecke,-n
die,Sonne (Sg.),
die,Hitze (Sg.),
die,Wolke,-n
der,Regen (Sg.),
der,Schnee (Sg.),
der,Wind,-e
der,Wetterbericht,-e
die,Himmelsrichtung,-en
der,Norden (Sg.),
der,Osten (Sg.),
der,Süden (Sg.),
der,Westen (Sg.),
die,Kultur (Sg.),
die,Kunst,"""-e"
die,Landschaft,-en
das,Dorf,"""-er"
der,Traum,"""-e"
die,Tante,-n
der,Vorschlag,"""-e"
der,Name,-n
der,Vorname,-n
der,Nachname,-n
die,Stadt,"-""e"
das,ist Herr/Frau ...,
die,E-Mail-Adresse,-n
die,Handynummer,-n
die,Telefonnummer,-n
die,Schweiz,
das,Land,"-""er"
die,Sprache,-n
die,Antwort,-en
der,Partner,-
die,Partnerin,-nen
die,Person,-en
der,Text,-e
das,Wort,"-""er"
die,Autobahn,-en
die,Flasche,-n
der,Kindergarten,"-"""
der,Koffer,-
das,verstehe ich nicht.,
das,Hobby,-s
das,Buch,"-""er"
das,Café,-s
der,Computer,-
die,Verabredung,-en
der,Freund,-e
die,Freundin,-nen
die,Leute (Pl.),
der,Fußball (Sg.),
das,Kino,-s
das,Theater,-
das,Museum,Museen
die,Musik (Sg.),
das,Schwimmbad,"-""er"
das,Foto,-s
der,Beruf,-e
der,Arzt,"-""e"
die,Ärztin,-nen
das,Krankenhaus,"-""er"
der,Friseur,-e
die,Friseurin,-nen
die,Handwerkerin,-nen
der,Journalist,-en
die,Kellnerin,-nen
der,Koch,"-""e"
die,Köchin,-nen
der,Krankenpfleger,-
das,Restaurant,-s
der,Kollege,-n
die,Kollegin,-nen
die,Firma,Firmen
der,Lehrer,-
die,Schule,-n
der,Kurs,-e
die,Mechanikerin,-nen
der,Polizist,-en
die,Studentin,-nen
die,Universität,-en
das,Seminar,-e
der,Taxifahrer,-
das,Taxi,-s
das,Auto,-s
die,Verkäuferin,-nen
der,Abend,-e
der,Nachmittag,-e
der,Moment,-e
die,Stunde,-n
der,Tag,-e
die,Woche,-n
das,Wochenende,-n
der,Wochentag,-e
das,Jahr,-e
der,Termin,-e
die,Information,-en
der,Familienname,-n
die,Adresse,-n
die,Straße,-n
die,Hausnummer,-n
die,Postleitzahl,-en
der,Wohnort,-e
das,Geburtsdatum,-daten
der,Geburtsort,-e
das,Formular,-e
die,Notiz,-en (Machen Sie Notizen.)
das,Beispiel,-e
der,Schlüssel,-
das,Wörterbuch,"-""er"
das,Zimmer,-
der,Mensch,-en
das,Haus,"-""er"
das,Rathaus,"-""er"
das,Konzerthaus,"-""er"
die,Kirche,-n
der,Turm,"-""e"
das,Hotel,-s
die,Brücke,-n
der,Park,-s
der,Markt,"-""e"
der,Bahnhof,"-""e"
der,Hafen,"-"""
der,See,-n
der,Fluss,"-""e"
das,Meer,-e
das,ist ...,
die,Station,-en
der,Ort,-e
der,Meter,"der Kilometer, -"
die,Kosten (Pl.),
der,Euro,-s
das,Fahrrad,"-""er"
der,Bus,-se
die,Straßenbahn,-en
der,Zug,"-""e"
die,U-Bahn,-en
die,S-Bahn,-en
das,Schiff,-e
das,Flugzeug,-e
die,Fahrkarte,-n
der,Weg,-e
das,ist ganz einfach.,
die,Mitte (Sg.),
der,Plan,"-""e"
der,Start (Sg.),
das,Ziel,-e
das,Event,-s
das,Festival,-s
das,Ticket,-s
das,Publikum (Sg.),
der,Besucher,-
die,Besucherin,-nen
der,Gast,"-""e"
das,Konzert,-e
das,Orchester,-
der,Chor,"-""e"
die,Konzertkarte,-n
der,Film,-e
der,Schauspieler,-
die,Schauspielerin,-nen
der,Star,-s
der,Regisseur,-e
die,Regisseurin,-nen
die,Ausstellung,-en
die,Jahreszeit,-en
der,Frühling,
der,Sommer,
der,Herbst,
der,Winter,
der,Monat,-e
der,Januar,
der,Februar,
der,März,
der,April,
der,Mai,
der,Juni,
der,Juli,
der,August,
der,September,
der,Oktober,
der,November,
der,Dezember,
die,Gruppe,-n
das,Bild,-er
das,Plakat,-e
das,Glück (Sg.) (So ein Glück!),
der,Test,-s (Heute ist kein Test!)
die,Welt,-en
die,Lösung,-en
das,erste/zweite/ ... Mal,
das,Obst (Sg.),
der,Apfel,"-"""
die,Banane,-n
die,Birne,-n
das,Gemüse (Sg.),
die,Gurke,-n
die,Kartoffel,-n
der,Salat,-e
die,Tomate,-n
die,Olive,-n
die,Zwiebel,-n
das,Brot,-e
das,Brötchen,-
der,Keks,-e
der,Kuchen,-
das,Fleisch (Sg.),
das,Hähnchen,-
der,Schinken,-
die,Wurst,"-""e"
das,Würstchen,-
die,Butter (Sg.),
der,Käse (Sg.),
die,Milch (Sg.),
die,Sahne (Sg.),
der,Pfeffer (Sg.),
das,Salz,-e
der,Zucker (Sg.),
der,Essig,-e
das,Öl,-e
die,Nudel,-n
der,Reis (Sg.),
das,Ei,-er
der,Fisch,-e
die,Schokolade,-n
die,Marmelade,-n
das,Müsli,-s
das,Getränk,-e
das,Wasser,-
der,Saft,"-""e"
die,Limonade,-n
die,Cola,-s
der,Kaffee,-s
der,Tee,-s
die,Bäckerei,-en
der,Markt,"-""e"
die,Metzgerei,-en
der,Supermarkt,"-""e"
die,Packung,-en
der,Becher,-
die,Dose,-n
das,Stück,-e
die,Tüte,-n
das,Gramm (g),
das,Kilo(gramm) (kg),
der,Liter (l),
der,Einkaufswagen,-
der,Preis,-e
das,macht ... Euro,bitte.
der,Kassenzettel,-
das,Essen,-
das,Frühstück,-e
das,Mittagessen,-
das,Abendessen,-
das,Gericht,-e
die,Suppe,-n
die,Pizza,-s/Pizzen
die,Pommes frites (Pl.),
der,Morgen,- (morgens)
der,Mittag,-e (mittags)
der,Nachmittag,-e (nachmittags)
der,Abend,-e (abends)
die,Nacht,"-""e (nachts)"
die,Einladung,-en
die,Kantine,-n
die,Nachricht,-en
die,Uni,-s
die,Mensa,Mensen
die,Bibliothek,-en
die,Musikschule,-n
die,Hausaufgabe,-n
die,Zeitung,-en
die,Homepage,-s
der,Stress (Sg.),
die,Uhr,-en
die,Sekunde,-n
die,Minute,-n
die,Stunde,-n
die,Verspätung,-en
die,Familie,-n
das,Baby,-s
das,Kind,-er
der,Junge,-n
das,Mädchen,-
der,Sohn,"-""e"
die,Tochter,"-"""
die,Mutter,"-"""
der,Vater,"-"""
die,Eltern (Pl.),
der,Bruder,"-"""
die,Schwester,-n
die,Geschwister (Pl.),
die,Großmutter,"-"""
die,Oma,-s
der,Großvater,"-"""
der,Opa,-s
die,Großeltern (Pl.),
der,Mann (mein Mann),
die,Frau (meine Frau),
die,Zeit,-en
die,Party,-s
die,Bar,-s
der,Kalender,-
die,Besprechung,-en
der,Sport (Sg.),
der,Ball,"-""e"
das,Motorrad,"-""er"
die,Geige,-n
das,Saxofon,-e
die,Trompete,-n
der,Hund,-e
die,Idee,-n
das,Problem,-e
die,Praxis,Praxen
der,Ausflug,"-""e"
die,Fahrradtour,-en
das,Picknick,-s
das,Fest,-e
der,Geburtstag,-e
das,Geschenk,-e
das,Datum (Sg.),
die,Überraschung,-en
die,Mail,-s
der,Betreff,-e
die,Anrede,-n
die,Schorle,-n
das,Eis (Sg.),
die,Salami,-s
das,Schnitzel,-
die,Tomatensuppe,-n
der,Sandwich,-s
der,Durst (Sg.),
der,Hunger (Sg.),
die,Speisekarte,-n
die,Bestellung,-en
die,Rechnung,-en
das,Trinkgeld (Sg.),
die,Gabel,-n
das,Messer,-
der,Löffel,-
das,Glas,"-""er"
die,Tasse,-n
der,Teller,-
die,Serviette,-n
die,Kneipe,-n
das,Kaffeehaus,"-""er"
das,Lokal,-e
der,Biergarten,"-"""
die,Bank,"-""e"
die,Selbstbedienung (Sg.),
das,Programm,-e
der,Treffpunkt,-e
der,Eintritt,-e
die,Anmeldung,-en
die,Karte,-n
der,Spielplatz,"-""e"
der,Arbeitsalltag (Sg.),
der,Bäcker,-
der,Zahnarzt,"-""e"
der,Hausmeister,-
der,Mitarbeiter,-
die,Mitarbeiterin,-nen
das,Praktikum,Praktika
der,Bericht,-e
die,Präsentation,-en
der,Fehler,-
die,Pause,-n
der,Urlaub,-e
die,Medien (Pl.),
die,Datei,-en
der,Drucker,-
das,Passwort,"-""er"
der,Blog,-s
der,Akku,-s
das,WLAN (Sg.),
das,Netz,-e (Ich habe kein Netz.)
die,Bank,-en
der,Automat,-en
das,Konto,Konten
die,Kontonummer,-n
die,Kreditkarte,-n
der,Brief,-e
die,Post (Sg.),
der,Absender,-
der,Empfänger,-
die,Unterschrift,-en
das,Mitglied,-er
der,Kontakt,-e
das,Lied,-er
die,Musikgruppe,-n
die,Spezialität,-en
der,Small Talk,-s
das,Leben,-
der,Aufzug,"-""e"
die,Politik (Sg.),
die,Serie,-n
die,Religion,-en
die,meisten (Das mögen die meisten Leute nicht.),
der,Nachbar,"-n / die Nachbarin, -nen"
das,Paket,-e
das,Sprachinstitut,-e
die,Sportlerin,-nen
die,Süßigkeit,-en
das,Alter (Sg.),
die,Größe,-n
das,Gewicht (Sg.),
der,Körper,-
der,Kopf,"-""e"
der,Hals,"-""e"
der,Bauch,"-""e"
der,Rücken,-
der,Arm,-e
die,Hand,"-""e"
der,Finger,-
das,Bein,-e
das,Knie,-
der,Fuß,"-""e"
das,Gesicht,-er
der,Mund,"-""er"
der,Zahn,"-""e"
das,Auge,-n
das,Ohr,-en
die,Nase,-n
das,Haar,-e
der,Unfall,"-""e"
der,Schmerz,-en
die,Wunde,-n
der,Verband,"-""e"
das,Pflaster,-
die,Salbe,-n
das,Rezept,-e
die,Apotheke,-n
der,Doktor,-en
die,Krankheit,-en
der,Schnupfen,-
das,Fieber (Sg.),
die,...schmerzen (Pl.) (Halsschmerzen,
die,Tablette,-n
der,Saft,"-""e (Er nimmt einen Saft gegen den"
der,Tropfen,-
die,Spritze,-n
das,Hausmittel,-
die,Kontrolle,-n
der,Notarzt,"-""e"
die,Physiotherapeutin,-nen
die,Übung,-en
der,Krankenpfleger,-
die,Laborantin,-nen
das,Blut (Sg.),
das,Ergebnis,-se
die,Tafel,-n
das,Fenster,- (Mach bitte das Fenster auf.)
die,Freizeit (Sg.),
das,Experiment,-e
der,Tipp,-s
die,App,-s
